Timestamp,IP,Reason,Action
2024-11-25 21:53:50,163.242.39.161,Detects XSS payloads.,block
2024-11-25 21:53:50,125.53.88.74,Restricts access to admin pages.,block
2024-11-25 21:53:50,125.53.88.74,Detects credentials passed in URL.,block
2024-11-25 21:53:50,162.86.96.220,Restricts access to admin pages.,block
2024-11-25 21:53:50,6.37.210.113,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,6b3a:8b99:836e:b0df:f21e:97e7:7690:e322,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,216.37.66.150,Detects Remote Code Execution attempts via URL or commands.,block
2024-11-25 21:53:50,216.37.66.150,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,821a:a59b:d30f:9252:ad24:2733:74d5:3483,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,821a:a59b:d30f:9252:ad24:2733:74d5:3483,Detects XSS payloads.,block
2024-11-25 21:53:50,208.56.210.58,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,bfed:fff6:1562:92b2:2d04:2dcb:ea8:c1b5,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,bfed:fff6:1562:92b2:2d04:2dcb:ea8:c1b5,Detects XSS payloads.,block
2024-11-25 21:53:50,32.168.224.172,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,146.96.22.19,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,128.3.125.57,Blocks access to .git directories.,block
2024-11-25 21:53:50,58d5:d778:3798:9311:ce00:9a6f:9f0a:3084,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,58d5:d778:3798:9311:ce00:9a6f:9f0a:3084,Restricts access to admin pages.,block
2024-11-25 21:53:50,6d5a:cda2:1304:34c5:5d59:b80a:1ed:291e,Detects Local File Inclusion and Directory Traversal attempts.,block
2024-11-25 21:53:50,132.210.104.26,"Detects SQL Injection patterns, including basic XSS payloads.",block
2024-11-25 21:53:50,26.158.117.152,Detects XSS payloads.,block
